target_day,new_day,rmse_spfh,rmse_prmsl,rmse_rh
2002-01-06,2016-12-29,0.80602825,0.4576863,0.84524786
2003-01-06,1999-01-10,0.5943298,0.23103029,0.9440403
2004-01-06,2015-01-06,0.7527618,0.4254202,0.9636605
2005-01-06,1992-01-01,0.616277,0.4430086,0.7283909
2006-01-06,1971-12-31,0.91881096,0.5922761,0.97704226
2007-01-06,1983-01-05,0.8556442,0.3460458,0.6133323
2008-01-06,2014-01-05,1.029307,0.54421586,0.8582857
2009-01-06,1981-01-11,0.7456781,0.5261176,1.0826434
2010-01-06,1971-01-01,0.72255325,0.58143914,0.9756708
2011-01-06,2008-01-11,1.0233904,0.44736975,0.9280589
2012-01-06,1967-01-12,0.6037655,0.4796061,0.74816215
2013-01-06,2017-01-08,0.8738444,0.39248937,0.91532576
2014-01-06,1966-12-29,0.8259364,0.5530326,0.7404986
2015-01-06,2000-01-01,0.75321704,0.30655742,0.98479414
2016-01-06,1960-12-29,0.82148886,0.47681874,0.90230095
2017-01-06,1982-12-30,0.813561,0.43921372,0.99696046
2018-01-06,1961-01-10,0.68185246,0.52892053,0.8872344
1958-01-07,1999-01-13,1.0294381,0.6785548,0.8245255
1959-01-07,1968-01-06,0.83588886,0.415818,0.8157158
1960-01-07,2012-01-15,0.850573,0.44510236,1.0572901
1961-01-07,2018-01-02,0.7344178,0.6098092,0.80570066
1962-01-07,2005-01-01,0.78102523,0.46884882,0.8506093
1963-01-07,1997-01-10,1.0207397,0.5445178,0.98821044
1964-01-07,1992-12-29,0.775934,0.40176407,1.0312824
1965-01-07,2002-01-14,0.9473717,0.4821802,0.92273146
1966-01-07,2013-01-06,0.8813501,0.610899,0.86835104
1967-01-07,2013-01-14,0.6793962,0.5374935,0.95137423
1968-01-07,2016-01-14,0.6708584,0.6068308,0.86746293
1969-01-07,1972-01-15,0.9266086,0.2988057,0.98390836
1970-01-07,1979-01-01,1.0144262,0.70862687,1.1987785
1971-01-07,2017-01-09,0.93235385,0.5861296,0.6946508
1972-01-07,1971-01-14,0.8714565,0.35894218,0.8402251
1973-01-07,1992-01-15,0.8127333,0.7746602,0.88714224
1974-01-07,1972-01-12,0.99261504,0.27947807,0.9180381
1975-01-07,1995-01-10,0.7826457,0.40630117,0.66158223
